City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
148,Vostok,RU,46.4856,135.8833,74.37,32,70,4.88,broken clouds
149,Kupang,ID,-10.1667,123.5833,86.58,62,20,9.22,few clouds
150,Mehamn,NO,71.0357,27.8492,34.75,69,100,24.2,overcast clouds
151,Los Llanos De Aridane,ES,28.6585,-17.9182,69.12,60,0,19.17,clear sky
152,Arraial Do Cabo,BR,-22.9661,-42.0278,73.42,90,85,10.63,overcast clouds
153,Komsomolskiy,UZ,40.4272,71.7189,65.12,42,42,9.22,scattered clouds
154,Wajima,JP,37.4,136.9,63.28,90,75,23.55,broken clouds
155,Castro,BR,-24.7911,-50.0119,58.48,66,6,5.53,clear sky
156,Isangel,VU,-19.55,169.2667,77.16,63,56,11.1,broken clouds
157,Lafia,NG,8.4833,8.5167,76.93,89,99,2.75,overcast clouds
158,Alice Springs,AU,-23.7,133.8833,74.21,21,0,11.99,clear sky
159,Port Alfred,ZA,-33.5906,26.891,55.45,66,12,15.14,few clouds
160,Kodiak,US,57.79,-152.4072,45.91,81,90,11.5,overcast clouds
161,Cabedelo,BR,-6.9811,-34.8339,75.87,63,100,11.83,overcast clouds
162,Namatanai,PG,-3.6667,152.4333,85.93,70,84,5.1,broken clouds
163,Broome,US,42.2506,-75.833,74.61,87,100,1.01,overcast clouds
164,Cherskiy,RU,68.75,161.3,34.41,74,100,11.97,overcast clouds
165,Port Lincoln,AU,-34.7333,135.8667,68.52,31,69,9.53,broken clouds
166,Dingle,PH,10.9995,122.6711,87.62,62,100,1.28,overcast clouds
167,Marechal Candido Rondon,BR,-24.5561,-54.0567,64.18,92,82,4.36,moderate rain
168,Roswell,US,34.0232,-84.3616,76.78,67,1,7.31,clear sky
169,Jabinyanah,TN,35.035,10.9081,66.0,79,17,11.7,few clouds
170,San Quintin,MX,30.4833,-115.95,60.3,62,11,22.64,few clouds
171,Fairview,US,40.8126,-73.999,74.55,48,90,0.0,overcast clouds
172,Coahuayana,MX,18.7333,-103.6833,74.05,64,94,2.75,overcast clouds
173,Varkkallai,IN,8.7341,76.7067,80.38,82,95,1.36,overcast clouds
174,Bria,CF,6.5423,21.9863,71.17,93,99,3.15,overcast clouds
175,Lyskovo,RU,56.0328,45.0422,54.63,95,100,4.18,light rain
176,Upernavik,GL,72.7868,-56.1549,26.17,96,100,6.24,overcast clouds
177,Fez,MA,34.0372,-4.9998,71.85,52,0,4.45,clear sky
178,Bonavista,CA,48.6499,-53.1147,57.2,80,95,8.86,overcast clouds
179,Storforshei,NO,66.4043,14.5233,40.66,84,100,3.22,overcast clouds
180,Correntina,BR,-13.3433,-44.6367,70.38,50,27,0.83,scattered clouds
