City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
252,Marawi,PH,2021-05-21 16:47:10,7.9986,124.2928,294.07,90,59,0.53
253,Paidha,UG,2021-05-21 16:47:10,2.4167,30.9855,290.73,90,27,2.18
254,Dovbysh,UA,2021-05-21 16:47:11,50.3733,27.9874,285.9,78,75,2.24
255,Souillac,MU,2021-05-21 16:47:11,-20.5167,57.5167,296.36,74,75,9.12
256,Itagi,BR,2021-05-21 16:47:12,-14.1628,-40.0061,305.12,35,6,2.45
257,Bogotol,RU,2021-05-21 16:47:13,56.2078,89.5342,277.75,57,100,2.3
258,Port Hawkesbury,CA,2021-05-21 16:47:13,45.6169,-61.3485,298.2,43,1,2.57
259,Prainha,BR,2021-05-21 16:47:14,-1.8,-53.48,302.31,72,43,1.63
260,Lerik,AZ,2021-05-21 16:47:15,38.7726,48.4128,287.95,60,3,2.58
261,Ahipara,NZ,2021-05-21 16:47:15,-35.1667,173.1667,287.65,85,100,5.15
262,Itaituba,BR,2021-05-21 16:47:16,-4.2761,-55.9836,307.24,55,40,4.63
263,Kaitangata,NZ,2021-05-21 16:47:16,-46.2817,169.8464,279.78,89,52,3.0
264,Veraval,IN,2021-05-21 16:47:17,20.9,70.3667,301.26,83,5,4.52
265,Bengkulu,ID,2021-05-21 16:47:17,-3.8004,102.2655,297.72,92,50,1.66
266,Rantepao,ID,2021-05-21 16:47:18,-2.9701,119.8978,292.75,88,100,1.04
267,Ponte Nova,BR,2021-05-21 16:47:18,-20.4164,-42.9086,302.18,38,9,1.75
268,Caravelas,BR,2021-05-21 16:47:19,-17.7125,-39.2481,300.64,59,5,4.17
269,Tura,IN,2021-05-21 16:45:17,25.5198,90.2201,297.31,89,0,0.95
270,Nanortalik,GL,2021-05-21 16:47:20,60.1432,-45.2371,274.24,90,100,10.5
271,San Patricio,US,2021-05-21 16:47:21,28.017,-97.5169,302.6,68,100,3.55
272,Itupiranga,BR,2021-05-21 16:48:21,-5.1347,-49.3267,307.33,55,82,1.27
273,Niamey,NE,2021-05-21 16:48:22,13.5137,2.1098,315.31,13,40,1.03
274,Lewisporte,CA,2021-05-21 16:48:22,49.2499,-55.0482,294.99,60,87,2.28
275,Ponta Delgada,PT,2021-05-21 16:48:23,37.7333,-25.6667,290.55,63,20,6.69
276,Banyo,CM,2021-05-21 16:48:23,6.75,11.8167,293.61,94,60,2.56
277,Creel,MX,2021-05-21 16:48:24,27.75,-107.6333,293.73,19,100,5.46
278,Medicine Hat,CA,2021-05-21 16:48:25,50.0501,-110.6683,274.38,88,90,0.45
279,Key West,US,2021-05-21 16:48:25,24.5557,-81.7826,300.37,60,20,9.26
280,Omsukchan,RU,2021-05-21 16:48:26,62.5333,155.8,271.5,97,100,1.62
281,Padang,ID,2021-05-21 16:48:26,-0.9492,100.3543,299.18,84,55,1.78
282,Goderich,CA,2021-05-21 16:48:27,43.7501,-81.7165,299.33,41,100,6.17
283,Zacatecas,MX,2021-05-21 16:45:40,23.0,-103.0,294.4,22,1,1.49
284,Hermiston,US,2021-05-21 16:48:28,45.8404,-119.2895,288.82,47,20,4.12
285,Pisco,PE,2021-05-21 16:48:28,-13.7,-76.2167,293.16,77,38,5.14
286,Ruston,US,2021-05-21 16:48:29,32.5232,-92.6379,296.95,83,90,3.09
287,Namibe,AO,2021-05-21 16:48:29,-15.1961,12.1522,296.22,70,0,4.94
288,Nadym,RU,2021-05-21 16:48:30,65.5333,72.5167,291.39,61,29,3.49
289,Danielskuil,ZA,2021-05-21 16:48:30,-28.1887,23.5395,282.2,45,81,3.33
290,Carnarvon,AU,2021-05-21 16:48:31,-24.8667,113.6333,288.19,88,22,2.57
291,Pitimbu,BR,2021-05-21 16:48:31,-7.4706,-34.8086,302.48,66,36,4.8
292,Ostrovnoy,RU,2021-05-21 16:48:32,68.0531,39.5131,275.93,97,100,7.61
